"","label_val_1","label_val_2"
"1","not_mentioned","mentioned"
"2","yes","no"
"3","enthusiastic","not_enthusiastic"
"4","pessimistic","optimistic"
"5","for","against"
"6","disappointed","satisfied"
"7","involved","not_involved"
"8","sceptical","convinced"
"9","fulfilled","frustrated"
"10","benefited","not_benefited"
"11","yes,_necessary","no,_not_necessary"
"12","in_favor","not_in_favor"
"13","key_priority","not_key_priority"
"14","currently_afraid","not_currently_afraid"
"15","think_likely_to_happen","think_not_likely_to_happen"
"16","nat_government","european_union"
"17","correct","wrong"
"18","acceptable","not_acceptable"
"19","can_rely_on_it","cannot_rely_on_it"
"20","more_in_favor","less_in_favor"
"21","benefit_more","benefit_less"
"22","male","female"
"23","15_years","97_years"
"24","basic_sample","over_sample"
"25","tend_to_trust","tend_not_to_trust"
"26","in_favour","opposed"
"27","nat_government","european_union"
"28","priority","not_a_priority"
"29","in_favour","against"
"30","important","not_important"
"31","tend_to_agree","tend_to_disagree"
"32","increase_the_budget","keep_same_budget"
"33","disturbing","not_disturbing"
"34","15_years","99_years"
"35","lt_country_specific_gt","lt_country_specific_gt"
"36","not_mentioned","mentioned"
"37","tend_to_trust","tend_not_to_trust"
"38","benefited","not_benefited"
"39","yes","no"
"40","important","not_important"
"41","for","against"
"42","nationality_government","the_european_union"
"43","priority","not_a_priority"
"44","currently_afraid_of_it","not_currently_afraid_of_it"
"45","in_favour","against"
"46","go_into_residential_nursing_homes","remain_in_their_homes"
"47","i_am_looking_forward_to_retirement","retirement_will_be_difficult_for_me_to_accept"
"48","useful","not_useful"
"49","male","female"
"50","15_years","99_years"
"51","francophone","nederlandstalig"
"52","luxemburgs","francophone"
"53","finnish","swedish"
"54","country_specific","country_specific"
"55","euro_countries","non_euro_countries_incl_greece"
