label_val_1;label_val_2;label_val_3;num_val_1;num_val_2;num_val_3;label_harmonized_1;label_harmonized_2;label_harmonized_3
1_2_ecolabels;3_4_ecolabels;5_plus_ecolabels;2.5;5.5;8.5;left;centre;right
1_4_left;5_6_centre;7_10_right;2.5;5.5;8.5;left;centre;right
1_4_left;5_6_centre;7_10_right;2.5;5.5;8.5;left;centre;right
15_29;30_59;60_plus;6;7;8;15_29;30_59;60_plus
15_29_years;30_59_years;60_plus_years;6;7;8;15_29;30_59;60_plus
15_29_years;30_59_years;60_years_and_older;6;7;8;15_29;30_59;60_plus
15_29_years;30_59_years;60_years_and_older_[incl_99_in_d11];6;7;8;15_29;30_59;60_plus
a_good_idea;a_bad_idea;it_depends_spontaneous;1;-1;0;good;bad;neutral
a_good_thing;a_bad_thing;both_factors;1;-1;0;good;bad;neutral
a_good_thing;a_bad_thing;doesnt_make_difference_spontaneous;1;-1;0;good;bad;neutral
a_good_thing;a_bad_thing;neither_a_good_nor_a_bad_thing;1;-1;0;good;bad;neutral
a_good_thing;a_bad_thing;neither_a_good_thing_nor_a_bad_thing;1;-1;0;good;bad;neutral
a_good_thing;a_bad_thing;neither_good_nor_bad;1;-1;0;good;bad;neutral
a_good_thing;a_bad_thing;neither_good_nor_bad;1;-1;0;good;bad;neutral
a_good_thing;a_bad_thing;neither_good_nor_bad_thing;1;-1;0;good;bad;neutral
a_good_thing;a_bad_thing;neither_nor;1;-1;0;good;bad;neutral
a_good_thing;neither_good_nor_bad;a_bad_thing;1;-1;0;good;bad;neutral
a_good_thing;neither_good_nor_bad_[questionnaire_code_3];a_bad_thing_[questionnaire_code_2];1;-1;0;good;bad;neutral
a_good_thing;neither_good_nor_bads[3];a_bad_thing_[2];1;-1;0;good;bad;neutral
a_good_thing;neither_nor_3;a_bad_thing_2;1;-1;0;good;bad;neutral
a_good_thing;neither_nor_lt_3_gt;a_bad_thing_lt_2_gt;1;-1;0;good;bad;neutral
a_good_thing;neither_nor_questionnaire_code_3;a_bad_thing_questionnaire_code_2;1;-1;0;good;bad;neutral
a_high_level_of_health_care_educ_and_soc_spending_must_be_guaranteed_even_if_it_means_that_taxes_might_increase;taxes_should_be_decreased_even_if_it_means_a_general_lower_level_of_health_care_education_and_social_spending;it_depends_spontaneous;1;-1;0;a_high_level_of_health_care_educ_and_soc_spending_must_be_guaranteed_even_if_it_means_that_taxes_might_increase;taxes_should_be_decreased_even_if_it_means_a_general_lower_level_of_health_care_education_and_social_spending;depends
a_lot;a_little;nothing_at_all;1;-1;0;a_lot;some;none
a_lot;some;little_or_none;1;-1;0;a_lot;some;none
a_lot_of_attention;a_little_attention;no_attention_at_all;1;-1;0;a_lot;some;none
a_major_obstacle;a_minor_obstacle;not_an_obstacle_at_all;2;1;0;major;minor;none
a_positive_impact;no_impact;a_negative_impact;1;0;-1;positive;neutral;negative
acceptable_at_least_twice_coded_1_or_once_coded_1_and_twice_coded_2_in_qb4_1_to_qb4_3;tolerated_only_once_coded_1_and_at_least_once_3_4_not_coded_1_and_at_least_once_coded_2_in_qb4_1_to_qb4_3;unacceptable_coded_3_or_3_4_in_qb4_1_to_qb4_3;2;1;0;accepatable_at_least_twice;tolerated_only_once;unacceptable
acceptable_at_least_twice_coded_1_or_once_coded_1_and_twice_coded_2_in_qb4_1_to_qb4_3;tolerated_only_once_coded_1_and_at_least_once_3_4_or_not_coded_1_and_at_least_once_coded_2_in_qb4_1_to_qb4_3;unacceptable_coded_3_or_3_4_in_qb4_1_to_qb4_3;2;1;0;accepatable_at_least_twice;tolerated_only_once;unacceptable
accepted_without_r;accepted_with_restr;not_be_accepted;2;1;0;without_restriction;with_restriction;unacceptable
according_to_interests_of_member_states;according_to_political_affinities_of_meps;both_spont_;6;7;8;according_to_interests_of_member_states;according_to_political_affinities_of_meps;both_spont_
according_to_the_interests_of_the_member_states_from_which_meps_come;according_to_the_political_affinities_of_the_meps;both_spontaneous;6;7;8;according_to_the_interests_of_the_member_states_from_which_meps_come;according_to_the_political_affinities_of_the_meps;both_spontaneous
according_to_time_spent_for_usage;a_fixed_or_flat_rate_amount;other_spont_;6;7;8;according_to_time_spent_for_usage;a_fixed_or_flat_rate_amount;other_spont_
achieve_changes_little_by_little;obtain_changes_by_acting_quickly;no_need_for_changes;6;7;8;achieve_changes_little_by_little;obtain_changes_by_acting_quickly;no_need_for_changes
adapt_to_new_working_conditions;rights_to_live_work_abroad;promote_lifelong_learning;6;7;8;adapt_to_new_working_conditions;rights_to_live_work_abroad;promote_lifelong_learning
advantages_outweigh_risks;risks_outweigh_advantages;neither_spont_;6;7;8;advantages_outweigh_risks;risks_outweigh_advantages;neither
affordable;not_affordable;excessive_spont_;6;7;8;affordable;not_affordable;excessive
ahead;behind;at_the_same_level;1;-1;0;ahead;behind;same
ahead;behind;same_level;1;-1;0;ahead;behind;same
all_children_treated_equally;some_children_more_privileges;not_applicable_spont_;2;1;0;all;some;none
almost_daily;a_few_times_a_week;occasionally;2;1;0;almost_daily;a_few_times_a_week;occasionally
almost_everyday;frequently;never_to_all;2;1;0;almost_everyday;frequently;never
almost_everyday;often_sometimes;never_to_alls_coded_6_in_d62_1_to_d62_3;2;1;0;almost_everyday;frequently;never
almost_everyday_at_least_once_1_in_d62_1_to_d62_3;often_sometimes_at_least_once_2_5_in_d62_1_to_d62_3;never_to_all_6_in_d62_1_to_d62_3;2;1;0;almost_everyday;frequently;never
always;sometimes;never;2;1;0;always;sometimes;never
always_acceptable;sometimes_acceptable;never_acceptable;2;1;0;always;sometimes;never
an_advantage;a_disadvantage;neither_advantage_nor_disadvantage;1;-1;0;advantage;disadvantage;neutral
anyone_at_risk_of_poverty;risk_of_poverty_confined_to_certain_people;none_of_these_two_statements_spont_;;;;;;
anyone_is_at_risk_of_poverty_at_some_time_in_their_lives;the_risk_of_poverty_is_confined_to_certain_groups_of_people;none_of_these_two_statements_spontaneous;;;;;;
applies_fairly_well;applies_fairly_badly;neither_spont_;1;-1;0;well;badly;neither
applies_fairly_well;applies_fairly_badly;neither_spontaneous;1;-1;0;well;badly;neither
be_continued;be_gradually_phased_out;be_immediately_stopped;0;1;2;;;
been_strenghtened;been_weakened;the_same;1;-1;0;strengthened;weakened;same
been_strengthened;been_weakened;stayed_the_same;1;-1;0;strengthened;weakened;same
believe_a_god;believe_sort_of_spirit_life_force;not_believe_sort_of_spirit_god_life_force;6;7;8;believe_god;believe_spirit_life_force;not_believe
